GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
127,317,611,IRT,Broadway - 7Av,Times Sq-42 St,M,true,1 2 3,Subway,40.75529,-73.987495,Uptown,Downtown,1,1,1,,POINT (-73.987495 40.75529)
726,471,471,IRT,Flushing,34 St-Hudson Yards,M,true,7,Subway,40.755882,-74.00191,Last Stop,Queens,1,1,1,,POINT (-74.00191 40.755882)
F16,234,234,IND,6th Av - Culver,East Broadway,M,true,F,Subway,40.713715,-73.990173,Uptown,Brooklyn,0,0,0,,POINT (-73.990173 40.713715)
A36,170,624,IND,8th Av - Fulton St,Chambers St,M,true,A C,Subway,40.714111,-74.008585,Uptown,Brooklyn,0,0,0,,POINT (-74.008585 40.714111)
629,400,613,IRT,Lexington Av,59 St,M,true,4 5 6,Subway,40.762526,-73.967967,Uptown,Downtown,0,0,0,,POINT (-73.967967 40.762526)
R13,8,8,BMT,Astoria,5 Av/59 St,M,true,N R W,Subway,40.764811,-73.973347,Queens,Downtown,0,0,0,,POINT (-73.973347 40.764811)
622,393,393,IRT,Lexington Av,116 St,M,false,6,Subway,40.798629,-73.941617,The Bronx,Downtown,0,0,0,,POINT (-73.941617 40.798629)
R19,14,14,BMT,Broadway - Brighton,23 St,M,true,R W,Subway,40.741303,-73.989344,Uptown,Downtown,0,0,0,,POINT (-73.989344 40.741303)
R18,13,13,BMT,Broadway - Brighton,28 St,M,true,R W,Subway,40.745494,-73.988691,Uptown,Downtown,0,0,0,,POINT (-73.988691 40.745494)
114,304,304,IRT,Broadway - 7Av,145 St,M,false,1,Subway,40.826551,-73.95036,Uptown,Downtown,0,0,0,,POINT (-73.95036 40.826551)
A03,144,144,IND,8th Av - Fulton St,Dyckman St,M,false,A,Subway,40.865491,-73.927271,Uptown,Downtown,0,0,0,,POINT (-73.927271 40.865491)
A16,154,154,IND,8th Av - Fulton St,116 St,M,false,C B,Subway,40.805085,-73.954882,Uptown,Downtown,0,0,0,,POINT (-73.954882 40.805085)
418,412,628,IRT,Lexington Av,Fulton St,M,true,4 5,Subway,40.710368,-74.009509,Uptown,Downtown,1,1,1,,POINT (-74.009509 40.710368)
R23,18,623,BMT,Broadway,Canal St,M,true,R W,Subway,40.719527,-74.001775,Uptown,Downtown,0,0,0,,POINT (-74.001775 40.719527)
110,300,300,IRT,Broadway - 7Av,191 St,M,false,1,Subway,40.855225,-73.929412,The Bronx,Downtown,0,0,0,,POINT (-73.929412 40.855225)
725,467,611,IRT,Flushing,Times Sq-42 St,M,true,7,Subway,40.755477,-73.987691,Queens,Hudson Yards,1,1,1,,POINT (-73.987691 40.755477)
A20,158,158,IND,8th Av - Fulton St,86 St,M,false,C B,Subway,40.785868,-73.968916,Uptown,Downtown,0,0,0,,POINT (-73.968916 40.785868)
637,408,619,IRT,Lexington Av,Bleecker St,M,true,6,Subway,40.725915,-73.994659,Uptown,Downtown,1,1,1,,POINT (-73.994659 40.725915)
A15,153,153,IND,8th Av - Fulton St,125 St,M,false,A C B D,Subway,40.811109,-73.952343,Uptown,Downtown,1,1,1,,POINT (-73.952343 40.811109)
D18,228,228,IND,6th Av - Culver,23 St,M,true,F M,Subway,40.742878,-73.992821,Uptown,Downtown,0,0,0,,POINT (-73.992821 40.742878)
419,413,413,IRT,Lexington Av,Wall St,M,true,4 5,Subway,40.707557,-74.011862,Uptown,Downtown,0,0,0,,POINT (-74.011862 40.707557)
115,305,305,IRT,Broadway - 7Av,137 St-City College,M,false,1,Subway,40.822008,-73.953676,Uptown,Downtown,2,1,0,Uptown only,POINT (-73.953676 40.822008)
226,440,440,IRT,Lenox - White Plains Rd,116 St,M,false,2 3,Subway,40.802098,-73.949625,Uptown,Downtown,0,0,0,,POINT (-73.949625 40.802098)
136,326,326,IRT,Broadway - 7Av,Franklin St,M,true,1,Subway,40.719318,-74.006886,Uptown,Downtown,0,0,0,,POINT (-74.006886 40.719318)
D14,277,277,IND,Queens Blvd,7 Av,M,true,E B D,Subway,40.762862,-73.981637,Outbound,Downtown,0,0,0,,POINT (-73.981637 40.762862)
M20,104,623,BMT,Jamaica,Canal St,M,true,J Z,Subway,40.718092,-73.999892,Brooklyn,Downtown,0,0,0,,POINT (-73.999892 40.718092)
A30,165,165,IND,8th Av - Fulton St,23 St,M,true,C E,Subway,40.745906,-73.998041,Uptown,Downtown,0,0,0,,POINT (-73.998041 40.745906)
Q05,475,475,IND,Second Av,96 St,M,false,Q,Subway,40.784318,-73.947152,Last Stop,Downtown,1,1,1,,POINT (-73.947152 40.784318)
229,332,628,IRT,Clark St,Fulton St,M,true,2 3,Subway,40.709416,-74.006571,Uptown,Brooklyn,1,1,1,,POINT (-74.006571 40.709416)
A10,149,149,IND,8th Av - Fulton St,163 St-Amsterdam Av,M,false,C,Subway,40.836013,-73.939892,Uptown,Downtown,0,0,0,,POINT (-73.939892 40.836013)
633,404,404,IRT,Lexington Av,28 St,M,true,6,Subway,40.74307,-73.984264,Uptown,Downtown,2,0,1,Downtown only,POINT (-73.984264 40.74307)
119,309,309,IRT,Broadway - 7Av,103 St,M,false,1,Subway,40.799446,-73.968379,Uptown,Downtown,0,0,0,,POINT (-73.968379 40.799446)
301,436,436,IRT,Lenox - White Plains Rd,Harlem-148 St,M,false,3,Subway,40.82388,-73.93647,Last Stop,Downtown,1,1,1,,POINT (-73.93647 40.82388)
132,322,601,IRT,Broadway - 7Av,14 St,M,true,1 2 3,Subway,40.737826,-74.000201,Uptown,Downtown,1,1,1,,POINT (-74.000201 40.737826)
F15,233,625,IND,6th Av - Culver,Delancey St-Essex St,M,true,F,Subway,40.718611,-73.988114,Uptown,Brooklyn,0,0,0,,POINT (-73.988114 40.718611)
